Compound,G_sol,DeltaG_sol,volume,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-27777.005,-159.4838,306.958,2.43681,12.398,13.719,0.0,-0.55761,-0.43814,0.28659,-1.6130799999999998,241.3536,504.51788330000005,-4.1
ABICJYZKIYUWEE-UHFFFAOYSA-N,-21869.7729,410.3836,162.73,4.79105,11.144,16.467,-1.7585400000000002,0.97986,-0.40816,0.536,-1.85518,173.0848,310.5214844,-2.28
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-27989.3003,-704.8099,308.963,6.3769800000000005,11.646,14.088,-0.76555,-0.5827399999999999,-0.41001,0.32808000000000004,-1.3544200000000002,286.7171,483.7244263,-3.95
AEXMKKGTQYQZCS-UHFFFAOYSA-N,-19938.4902,1110.1138,160.798,0.108504,16.21,15.675,0.0,-1.23321,-0.2207,0.0811,0.0,100.2034,307.255127,-4.23
AFFLGGQVNFXPEV-UHFFFAOYSA-N,-23377.4412,73.3147,225.266,0.254911,13.775,14.761,0.0,-1.7585099999999998,-0.24138,0.1294,0.0,140.268,428.4981995,-5.51
AFOGBLYPWJJVAL-UHFFFAOYSA-N,-27728.592,108.323,289.732,7.31147,11.415,14.585,-2.40531,-1.3371,-0.96482,2.84222,-0.76673,256.319,494.6982117,-3.05
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-22933.0774,53.7753,174.622,7.787339999999999,11.106,15.168,-1.5500200000000002,-0.05081,-0.42335,0.5847,-0.96532,167.1208,326.756073,-1.71997
AFYCEAFSNDLKSX-UHFFFAOYSA-N,-26002.2803,-9.1396,284.253,9.24713,11.692,12.972,-0.6005,-1.00393,-0.40947,0.38965,-0.91027,231.2938,459.49435419999986,-4.001
AGAHNABIDCTLHW-UHFFFAOYSA-N,-32178.3277,347.1866,432.915,1.81724,11.782,13.952,-0.73831,-1.99161,-0.38102,0.30371,-1.1364,355.4513,645.319397,-4.3469999999999995
AGMMTXLNIQSRCG-UHFFFAOYSA-N,-27135.4016,184.012,294.375,10.5561,11.583,13.841,-2.4213,-0.75616,-0.98623,2.84422,-1.26006,289.7361,468.5610657,-3.29
AHJKRLASYNVKDZ-UHFFFAOYSA-N,-28175.8451,-93.5311,327.756,2.9378900000000003,12.299,14.197,0.0,-1.29749,-0.13214,0.17624,-0.29641,320.045,497.0978699,-7.199998
AIKKULXCBHRFOS-UHFFFAOYSA-N,-28652.9281,-401.5558,275.47700000000003,9.78016,9.475,15.396,-2.14281,0.26446,-1.26595,2.49285,-1.83469,257.2589,452.1102905,-2.0
AIVXUNRQBRKFJO-UHFFFAOYSA-N,-25540.3755,731.7266,239.811,4.71516,10.89,13.328,-2.29685,-1.7934599999999998,-1.02546,2.8535,0.51991,249.3172,399.8743896,-3.4939999999999998
AKUJBENLRBOFTD-UHFFFAOYSA-N,-34544.7276,708.6548,492.929,7.9028100000000014,12.095999999999998,14.626,-2.10452,-1.51779,-0.42525,0.33735,-2.2838,434.5037,654.8651123,-4.9
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-28630.2,254.8051,287.073,8.86032,11.056,13.686,-2.5322,-1.96232,-0.97636,2.72319,-0.11044,267.29900000000004,464.45538330000005,-2.43
AMMPGYPPRLWMLW-UHFFFAOYSA-N,-23538.3732,61.6854,205.36900000000003,8.344710000000001,11.287,13.203,-1.04772,-0.60887,-0.41238,0.5844600000000001,-0.87564,182.1786,378.9792175,-3.2110000000000003
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-19810.7186,-235.1728,133.446,1.8666,15.586,15.488,-0.40933,-0.71804,-0.40933,0.24298000000000006,-0.40933,88.1492,294.401123,-0.6
