Compound,G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS,Lsolu_Hsolv,Lsolv_Hsolu
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-27386.0295,108.4003,306.95799999999997,2.51648,0.0,1.2683,-0.49662,0.40835,-1.9425400000000002,241.3536,504.51788330000005,-4.1,12.113,15.231
ABICJYZKIYUWEE-UHFFFAOYSA-N,-21701.1004,1192.0051,162.73,4.52321,-1.7749700000000002,1.26482,-0.43309,0.50939,-1.9613,173.0848,310.52148439999996,-2.28,10.758,17.2
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-27724.24,-526.5967,308.96299999999997,5.96856,-0.77653,0.42313,-0.42736999999999997,0.3702,-1.54739,286.7171,483.7244263,-3.95,11.343,14.972000000000001
AEXMKKGTQYQZCS-UHFFFAOYSA-N,-19847.028000000002,72.8581,160.798,0.0305082,0.0,0.0060799999999999995,-0.12934,0.04961,0.0,100.2034,307.255127,-4.23,15.604000000000001,17.101
AFFLGGQVNFXPEV-UHFFFAOYSA-N,-22909.237999999998,13.9833,225.266,0.00662821,0.0,-0.26705,-0.13063,0.06129,0.0,140.268,428.4981995,-5.51,13.418,15.520999999999999
AFOGBLYPWJJVAL-UHFFFAOYSA-N,-27400.5354,309.4812,289.732,7.5784899999999995,-2.04215,0.19798,-0.77509,1.9108,-1.17459,256.319,494.69821169999994,-3.05,10.402000000000001,15.38
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-22661.5791,77.557,174.622,7.72468,-1.53525,0.35871,-0.44578,0.5281600000000001,-1.00709,167.1208,326.756073,-1.71997,10.828,15.731
AFYCEAFSNDLKSX-UHFFFAOYSA-N,-25817.6954,-0.488,284.253,8.45737,-0.67305,0.5767399999999999,-0.43623999999999996,0.43353,-1.07431,231.2938,459.4943541999999,-4.001,11.401,13.93
AGAHNABIDCTLHW-UHFFFAOYSA-N,-31796.5781,70.7894,432.915,1.6555799999999998,-0.73668,0.21825,-0.37790999999999997,0.31476,-1.3226200000000001,355.4513,645.319397,-4.3469999999999995,11.444,14.92
AGMMTXLNIQSRCG-UHFFFAOYSA-N,-27135.4562,107.1125,294.375,11.6413,-2.04428,0.44937,-0.79218,1.91795,-1.6937799999999998,289.7361,468.5610657,-3.29,10.577,14.960999999999999
AHJKRLASYNVKDZ-UHFFFAOYSA-N,-28056.4341,-59.924,327.756,3.29109,0.0,-0.21756999999999999,-0.17987,0.20188,-0.59582,320.045,497.0978699,-7.199998,11.845,15.132
AIKKULXCBHRFOS-UHFFFAOYSA-N,-27196.4184,-265.2876,275.47700000000003,7.317880000000001,-1.67284,1.33018,-0.54591,0.73221,-1.82208,257.2589,452.1102905,-2.0,9.465,14.927999999999999
AIVXUNRQBRKFJO-UHFFFAOYSA-N,-24567.4022,-157.2692,239.81099999999998,6.06671,-1.89073,-0.78833,-0.77352,1.94471,-0.01679,249.3172,399.87438960000003,-3.4939999999999998,10.227,15.07
AKUJBENLRBOFTD-UHFFFAOYSA-N,-34057.2547,-380.2083,492.92900000000003,7.38697,-2.12548,0.95057,-0.43345,0.37422,-2.39142,434.5037,654.8651123,-4.9,11.757,15.622
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-26885.5799,189.1935,287.073,10.115,-2.2836,-0.21646999999999997,-0.7952600000000001,1.71212,-0.88082,267.29900000000004,464.45538330000005,-2.43,10.289000000000001,14.475
AMMPGYPPRLWMLW-UHFFFAOYSA-N,-24092.8031,89.9817,205.36900000000003,7.785019999999999,-1.0761,0.17790999999999998,-0.3958,0.52747,-0.9243,182.1786,378.9792175,-3.2110000000000003,10.965,14.082
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-19380.7182,20.6824,133.446,1.7561,-0.39429000000000003,0.12218,-0.39429000000000003,0.21247,-0.39429000000000003,88.1492,294.401123,-0.6,15.577,16.816
AMRQXHFXNZFDCH-UHFFFAOYSA-N,-26477.5673,265.807,283.361,2.37698,-1.24648,0.9573200000000001,-0.49218,0.50585,-1.9446599999999998,236.27,484.9683228,-1.83,12.27,14.564
