Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-32495.7281,-775.9799,3.51756,0.0,-0.6886899999999999,-0.35631999999999997,0.12344000000000001,-0.61822,241.3536,504.51788330000005,306.95799999999997,-4.1,12.049000000000001,13.206
ABICJYZKIYUWEE-UHFFFAOYSA-N,-22764.8921,-137.7233,5.01048,-2.47168,0.35827,-0.62074,1.30723,-0.8561700000000001,173.0848,310.52148439999996,162.73,-2.28,11.464,15.118
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-27839.0892,45.0591,6.99603,-0.82089,-0.67373,-0.47741999999999996,0.23967,-0.7682399999999999,286.7171,483.7244263,308.96299999999997,-3.95,11.433,13.432
AEXMKKGTQYQZCS-UHFFFAOYSA-N,-21157.855,3.6063,0.149784,0.0,-0.80311,-0.13623,0.05445,0.0,100.2034,307.255127,160.798,-4.23,15.888,15.71
AFFLGGQVNFXPEV-UHFFFAOYSA-N,-25505.9844,133.5445,0.229742,0.0,-1.19481,-0.18508,0.10686,0.0,140.268,428.4981995,225.266,-5.51,13.517999999999999,14.525
AFOGBLYPWJJVAL-UHFFFAOYSA-N,-28973.8778,330.0888,7.675619999999999,-2.3936599999999997,-1.0349700000000002,-0.92345,2.44555,-0.34518000000000004,256.319,494.69821169999994,289.732,-3.05,11.919,13.67
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-23547.3578,342.6787,7.66326,-2.11423,-0.09636,-0.66128,1.39606,-0.71817,167.1208,326.756073,174.622,-1.71997,11.234000000000002,14.652000000000001
AFYCEAFSNDLKSX-UHFFFAOYSA-N,-29917.8793,-463.4794,8.929110000000001,-0.62784,-0.81016,-0.47373999999999994,0.45966,-0.57648,231.2938,459.4943541999999,284.253,-4.001,11.508,12.442
AGAHNABIDCTLHW-UHFFFAOYSA-N,-33714.3959,69.0162,1.9035099999999998,-0.76435,-1.43173,-0.3975,0.36825,-0.9638899999999999,355.4513,645.319397,432.915,-4.3469999999999995,11.597000000000001,13.481
AGMMTXLNIQSRCG-UHFFFAOYSA-N,-28225.3044,-217.6621,11.1522,-2.39279,-0.87539,-0.93989,2.42267,-0.30171,289.7361,468.5610657,294.375,-3.29,11.624,13.030999999999999
AHJKRLASYNVKDZ-UHFFFAOYSA-N,-28826.0409,-58.6738,2.2584,0.0,-1.27176,-0.12689,0.13717000000000001,0.01135,320.045,497.0978699,327.756,-7.199998,12.167,13.719000000000001
AIKKULXCBHRFOS-UHFFFAOYSA-N,-28380.2204,-162.3565,7.45137,-2.03341,0.45288,-0.88935,1.87043,-1.38666,257.2589,452.1102905,275.47700000000003,-2.0,10.137,14.073
AIVXUNRQBRKFJO-UHFFFAOYSA-N,-25584.2428,-186.4285,5.43351,-2.23021,-1.1626,-0.92442,2.44156,0.30174,249.3172,399.87438960000003,239.81099999999998,-3.4939999999999998,10.565,13.339
AKUJBENLRBOFTD-UHFFFAOYSA-N,-35737.3172,127.8752,7.81502,-2.16034,-0.61303,-0.47431,0.41335,-2.33279,434.5037,654.8651123,492.92900000000003,-4.9,11.84,14.367
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-28936.8517,-942.1129,9.4494,-2.51953,-1.4933100000000001,-0.9196,2.40022,0.04423,267.29900000000004,464.45538330000005,287.073,-2.43,12.194,13.11
AMMPGYPPRLWMLW-UHFFFAOYSA-N,-25417.2175,181.4044,8.05295,-1.54593,-0.77575,-0.66895,1.39386,-0.05644,182.1786,378.9792175,205.36900000000003,-3.2110000000000003,11.524000000000001,12.362
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-20996.7415,-220.8267,1.7087299999999999,-0.38823,-0.37396999999999997,-0.38823,0.2303,-0.38823,88.1492,294.401123,133.446,-0.6,15.315,15.158
AMRQXHFXNZFDCH-UHFFFAOYSA-N,-29065.8543,329.756,2.45637,-1.28867,-0.35836,-0.5401699999999999,0.34842,-1.04901,236.27,484.9683228,283.361,-1.83,12.357000000000001,13.214
ANJTVLIZGCUXLD-UHFFFAOYSA-N,-23168.8502,-214.4272,7.60692,-0.56212,-0.8793799999999999,-0.56212,0.31526,-0.34876999999999997,190.2444,372.1828003,225.644,0.36,11.995999999999999,13.017000000000001
APSMUYYLXZULMS-UHFFFAOYSA-N,-23134.0558,-178.0347,1.70724,0.0,-0.8605,-0.12569,0.13238,0.0025399999999999997,207.0693,342.4750671,190.141,-4.4,11.594000000000001,13.26
APTGDJCKNMNFID-UHFFFAOYSA-N,-26960.9142,-352.1914,8.45065,-4.04356,-1.9566400000000002,-0.92748,2.44293,0.7545,283.3318,426.3872681,266.60900000000004,-1.5390000000000001,11.103,13.95
AQCHWTWZEMGIFD-UHFFFAOYSA-N,-32757.6269,26.5259,10.9556,-2.3652900000000003,-1.3985,-0.93822,2.42234,-0.22398,365.8337,560.8483887,386.30699999999996,-3.78,11.607000000000001,13.071
AQIXAKUUQRKLND-UHFFFAOYSA-N,-28579.6571,77.0433,4.54892,0.0,-1.22191,-0.41355,0.45863999999999994,-0.11072,252.3366,521.8492432,308.903,-1.40229,12.125,13.095
AQIXEPGDORPWBJ-UHFFFAOYSA-N,-20296.6448,5.6015,1.75653,-0.37649,-0.43978,-0.37649,0.2249,-0.37649,88.1492,285.1423645,134.061,-0.24,15.602,15.292
ARCGXLSVLAOJQL-UHFFFAOYSA-N,-25734.5241,-33.8463,5.04593,-2.31555,1.0862,-0.47471,0.48555,-2.31555,210.1428,367.5466919,214.657,-0.397,11.105,14.62
