Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
AAEVYOVXGOFMJO-UHFFFAOYSA-N,-48.81854077,-0.017821735,4.933,4.9552,12.4665,0.0,-1.58178582,-0.41813589,0.25531487,0.48066366,306.95799999999997,241.3536,504.51788330000005,-4.1
ABICJYZKIYUWEE-UHFFFAOYSA-N,-39.10068558,-0.016156886999999998,5.188,2.316,14.9453,1.59698223,-0.79281617,-0.41530597,0.61772262,0.41495338,162.73,173.0848,310.52148439999996,-2.28
ADIMAYPTOBDMTL-UHFFFAOYSA-N,-56.10350077,-0.019407495,5.855,3.9311,13.035,0.44823935,-1.22036674,-0.48649829,0.369631,0.07321894,308.96299999999997,286.7171,483.7244263,-3.95
AEXMKKGTQYQZCS-UHFFFAOYSA-N,-22.97620626,-0.000664073,0.091,13.8503,13.6582,0.0,-0.43492046,-0.11254871,0.03839956,0.0,160.798,100.2034,307.255127,-4.23
AFFLGGQVNFXPEV-UHFFFAOYSA-N,-31.35865278,-0.0015583539999999999,0.513,6.4889,13.2488,0.0,-0.56690329,-0.11123775,0.04488473,0.0,225.266,140.268,428.4981995,-5.51
AFOGBLYPWJJVAL-UHFFFAOYSA-N,-52.83570028,-0.029922663,8.274,4.7262,13.6068,0.88619627,-1.02417937,-0.65729443,1.20434567,-0.31275198,289.732,256.319,494.69821169999994,-3.05
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-36.57258527,-0.020727599,8.925,2.6508,14.3623,0.46080747,-0.85482991,-0.48211331,0.57437049,0.02552046,174.622,167.1208,326.756073,-1.71997
AFYCEAFSNDLKSX-UHFFFAOYSA-N,-49.51705215,-0.015826426,12.661,4.3242,12.1534,0.34033057,-1.35370918,-0.54964799,0.34033057,0.41774771,284.253,231.2938,459.4943541999999,-4.001
AGAHNABIDCTLHW-UHFFFAOYSA-N,-75.7980798,-0.013705917,2.9960000000000004,3.861,11.8883,0.3790664,-1.89510169,-0.50513763,0.33093583,0.38618535,432.915,355.4513,645.319397,-4.3469999999999995
AGMMTXLNIQSRCG-UHFFFAOYSA-N,-56.19017959,-0.040220546,12.991,4.145,12.9548,0.79686208,-0.82094813,-0.67786653,1.1786627,-0.65779068,294.375,289.7361,468.5610657,-3.29
AHJKRLASYNVKDZ-UHFFFAOYSA-N,-53.14354338,-0.00946675,2.7439999999999998,5.3113,13.2662,0.0,-1.08905448,-0.2261906,0.14171817,0.34400842,327.756,320.045,497.0978699,-7.199998
AIKKULXCBHRFOS-UHFFFAOYSA-N,-47.15090681,-0.017691994,8.213,3.7859,12.9974,0.47695913,-1.15465953,-0.47724788,0.38885654,-0.05639172,275.47700000000003,257.2589,452.1102905,-2.0
AIVXUNRQBRKFJO-UHFFFAOYSA-N,-43.31467768,-0.02434766,6.557,3.1326,12.9758,0.77696593,-0.9878139000000001,-0.65990885,1.18804739,-0.00521735,239.81099999999998,249.3172,399.87438960000003,-3.4939999999999998
AKUJBENLRBOFTD-UHFFFAOYSA-N,-95.94123422,-0.026485737000000002,8.241,4.0280000000000005,13.1453,1.10341153,-3.22860122,-0.4963385,0.37271192,1.10341153,492.92900000000003,434.5037,654.8651123,-4.9
AMEKQAFGQBKLKX-UHFFFAOYSA-N,-54.58359421,-0.022268215,12.982999999999999,4.9715,13.0006,0.5805253,-1.82721681,-0.6448858000000001,1.05377468,0.69335834,287.073,267.29900000000004,464.45538330000005,-2.43
AMMPGYPPRLWMLW-UHFFFAOYSA-N,-40.06289175,-0.018411986,12.247,3.1599,12.4478,0.67283045,-1.21607634,-0.48059406,0.53712556,0.27445656,205.36900000000003,182.1786,378.9792175,-3.2110000000000003
AMQJEAYHLZJPGS-UHFFFAOYSA-N,-20.76256781,-0.007738587,1.942,12.2653,13.5848,0.0,-0.63422077,-0.52634522,0.36258102,0.0,133.446,88.1492,294.401123,-0.6
